"id","name","boardName","schoolSpecialConditions","streetAddress","city","state","country","postal"
"on-provider:B66036:980153","Lambton Kent B E Summer School","Lambton Kent DSB","Summer","200 Wellington St","Sarnia","Ontario","Canada","N7T 7L2"
"on-provider:B66036:964271","Lambton Kent Virtual Secondary School","Lambton Kent DSB","Remote School","231 St. George Street","Dresden","Ontario","Canada","N0P 1M0"
"on-provider:B66095:987367","Langstaff Secondary Summer School","York Region DSB","Summer","106 GARDEN AVE","RICHMOND HILL","Ontario","Canada","L4C 6M1"
"on-provider:B66095:989586","Langstaff Summer School","York Region DSB","Summer","106 Garden Ave","Richmond Hill","Ontario","Canada","L4C 6M1"
"on-provider:B67032:819769","LDCSB Online School High School","London District Catholic School Board","Online School","5200 Wellington Road","London","Ontario","Canada","N6E 3X8"
"on-provider:B67032:981249","LDCSB Summer School","London District Catholic School Board","Summer","5200 Wellington Road","London","Ontario","Canada","N6E 3X8"
"on-provider:B66206:994413","Limestone District School Board Night School","Limestone DSB","Continuing Education","Suite c/o Calvin Park PS, 164 Van Order Dr","Kingston","Ontario","Canada","K7M 1C1"
"on-provider:B66206:980307","Limestone District School Board Summer School","Limestone DSB","Summer","Suite c/o Calvin Park, 164 Van Order Dr","Kingston","Ontario","Canada","K7M 1C1"
"on-provider:B66206:939348","Limestone Online Secondary School","Limestone DSB","Online School","164 Dri Van Order","Kingston","Ontario","Canada","K7M 1C1"
"on-provider:B67202:728420","Loyola Community Learning Centre","Algonquin and Lakeshore CDSB","Adult","1440 Princess Street","Kingston","Ontario","Canada","K7M 3E5"
"on-provider:B28029:990498","Manitoulin Night School","Rainbow DSB","Continuing Education","PO Box Box 307, 107 Bay St","M'Chigeeng","Ontario","Canada","P0P 1G0"
"on-provider:B66095:985761","Maple Secondary Summer School","York Region DSB","Summer","50 Springside Rd","Maple","Ontario","Canada","L6A 2W5"
"on-provider:B66095:992070","Middlefield IL Night School","York Region DSB","Continuing Education","525 Highglen Ave","Markham","Ontario","Canada","L3S 3L5"
"on-provider:B66095:981610","Middlefield Secondary Summer School","York Region DSB","Summer","525 Highglen Ave","Markham","Ontario","Canada","L3S 3L5"
"on-provider:B66095:995525","Milliken Mills Night School","York Region DSB","Continuing Education","7522 Kennedy Rd","Unionville","Ontario","Canada","L3R 9S5"
"on-provider:B66095:988815","Milliken Mills Secondary Summer School","York Region DSB","Summer","7522 KENNEDY RD","MARKHAM","Ontario","Canada","L3R 9S5"
"on-provider:B67059:994092","Monsignor Fraser College - Isabella","Toronto CDSB","Continuing Education","146 ISABELLA ST","TORONTO","Ontario","Canada","M4Y 1P6"
"on-provider:B67059:999689","Monsignor Fraser College - Midland","Toronto CDSB","Continuing Education","2900 MIDLAND AVE","SCARBOROUGH","Ontario","Canada","M1S 3K8"
"on-provider:B67059:733490","Msgr Fraser Orientation Centre","Toronto CDSB","Adult","146 Isabella St","Toronto","Ontario","Canada","M4Y 1P6"
"on-provider:B28037:999260","Near North Continuing Education Centre School","Near North DSB","Continuing Education","647 McKay Avenue","North Bay","Ontario","Canada","P1B 8H1"
"on-provider:B28037:991880","Near North District School Board Night School","Near North DSB","Continuing Education","963 Airport Road","North Bay","Ontario","Canada","P1B 8H1"
"on-provider:B28037:980315","Near North School Board Summer School","Near North DSB","Summer","647 McKay Ave","North Bay","Ontario","Canada","P1B 7V7"
"on-provider:B66095:984740","Newmarket Secondary Summer School","York Region DSB","Summer","505 PICKERING CRES","NEWMARKET","Ontario","Canada","L3Y 8H1"
"on-provider:B67156:848985","Niagara Catholic Online Secondary School","Niagara CDSB","Online School","25 Whyte Avenue","Thorold","Ontario","Canada","L2V 2T4"
"on-provider:B67156:798310","Niagara Catholic Virtual Secondary School","Niagara CDSB","Online School","427 Rice Road","Welland","Ontario","Canada","L3C 7C1"
"on-provider:B66141:991171","Night School Hill Park Night School","Hamilton-Wentworth DSB","Continuing Education","465 East 16th Street","Hamilton","Ontario","Canada","L9A 4K6"
"on-provider:B66117:994294","Night School-Wellington Centre for ContE","Upper Grand DSB","Continuing Education","1428 Gordon St","Guelph","Ontario","Canada","N1H 1C8"
